Random number seed:  -8704197715963060969
# Trajectories at each energy & theta:  10000
Beam landing energies (eV):  [1.0, 5.0, 10.0, 20.0, 35.0, 50.0, 75.0, 100.0, 125.0, 150.0, 175.0, 200.0, 250.0, 300.0, 350.0, 400.0, 500.0, 800.0, 1000.0, 1500.0, 2000.0, 3500.0, 5000.0, 8000.0, 10000.0, 15000.0, 20000.0, 29975.0]
Sample angles (deg):  [0.0, 10.0, 20.0, 30.0, 40.0, 50.0, 60.0, 70.0, 80.0, 82.0, 85.0, 86.0, 87.0, 88.0, 89.0]
Beam size (standard deviation, in nm):  0.5

beamE (eV)	theta (deg)	BSE yield	SE yield	time (h)
     1.0 	     0.0 	0.387 	0.008  	0.002
     5.0 	     0.0 	0.127 	0.037  	0.005
    10.0 	     0.0 	0.061 	0.067  	0.009
    20.0 	     0.0 	0.023 	0.130  	0.015
    35.0 	     0.0 	0.010 	0.232  	0.025
    50.0 	     0.0 	0.005 	0.323  	0.038
    75.0 	     0.0 	0.049 	0.405  	0.057
   100.0 	     0.0 	0.127 	0.459  	0.079
   125.0 	     0.0 	0.165 	0.493  	0.107
   150.0 	     0.0 	0.184 	0.521  	0.138
   175.0 	     0.0 	0.199 	0.535  	0.175
   200.0 	     0.0 	0.209 	0.540  	0.216
   250.0 	     0.0 	0.224 	0.534  	0.265
   300.0 	     0.0 	0.234 	0.519  	0.323
   350.0 	     0.0 	0.242 	0.504  	0.390
   400.0 	     0.0 	0.248 	0.483  	0.465
   500.0 	     0.0 	0.251 	0.443  	0.556
   800.0 	     0.0 	0.255 	0.343  	0.697
  1000.0 	     0.0 	0.251 	0.294  	0.873
  1500.0 	     0.0 	0.244 	0.206  	0.887
  2000.0 	     0.0 	0.235 	0.165  	0.904
  3500.0 	     0.0 	0.216 	0.102  	0.932
  5000.0 	     0.0 	0.200 	0.072  	0.973
  8000.0 	     0.0 	0.193 	0.050  	1.036
 10000.0 	     0.0 	0.182 	0.040  	1.116
 15000.0 	     0.0 	0.181 	0.029  	1.239
