Random number seed:  2997058579942705932
# Trajectories at each energy & theta:  10000
Beam landing energies (eV):  [1.0, 5.0, 10.0, 20.0, 35.0, 50.0, 75.0, 100.0, 125.0, 150.0, 175.0, 200.0, 250.0, 300.0, 350.0, 400.0, 500.0, 800.0, 1000.0, 1500.0, 2000.0, 3500.0, 5000.0, 8000.0, 10000.0, 15000.0, 20000.0, 29975.0]
Sample angles (deg):  [0.0, 10.0, 20.0, 30.0, 40.0, 50.0, 60.0, 70.0, 80.0, 82.0, 85.0, 86.0, 87.0, 88.0, 89.0]
Beam size (standard deviation, in nm):  0.5

beamE (eV)	theta (deg)	BSE yield	SE yield	time (h)
     1.0 	     0.0 	0.000 	0.025  	0.003
     5.0 	     0.0 	0.000 	0.063  	0.006
    10.0 	     0.0 	0.000 	0.097  	0.011
    20.0 	     0.0 	0.000 	0.176  	0.018
    35.0 	     0.0 	0.000 	0.306  	0.028
    50.0 	     0.0 	0.000 	0.422  	0.042
    75.0 	     0.0 	0.049 	0.535  	0.062
   100.0 	     0.0 	0.128 	0.604  	0.086
   125.0 	     0.0 	0.164 	0.658  	0.117
   150.0 	     0.0 	0.188 	0.694  	0.152
   175.0 	     0.0 	0.202 	0.717  	0.191
   200.0 	     0.0 	0.213 	0.734  	0.235
   250.0 	     0.0 	0.226 	0.727  	0.286
   300.0 	     0.0 	0.237 	0.713  	0.345
   350.0 	     0.0 	0.245 	0.697  	0.416
   400.0 	     0.0 	0.248 	0.663  	0.496
   500.0 	     0.0 	0.253 	0.617  	0.591
   800.0 	     0.0 	0.255 	0.477  	0.742
  1000.0 	     0.0 	0.253 	0.414  	0.925
  1500.0 	     0.0 	0.242 	0.306  	0.939
  2000.0 	     0.0 	0.235 	0.231  	0.958
  3500.0 	     0.0 	0.215 	0.155  	0.989
  5000.0 	     0.0 	0.206 	0.102  	1.032
  8000.0 	     0.0 	0.190 	0.067  	1.097
 10000.0 	     0.0 	0.181 	0.052  	1.180
 15000.0 	     0.0 	0.182 	0.040  	1.304
 20000.0 	     0.0 	0.175 	0.026  	1.465
 29975.0 	     0.0 	0.165 	0.019  	1.715
     1.0 	    10.0 	0.000 	0.024  	1.715
     5.0 	    10.0 	-0.000 	0.065  	1.715
    10.0 	    10.0 	0.000 	0.094  	1.716
    20.0 	    10.0 	0.000 	0.176  	1.716
    35.0 	    10.0 	0.000 	0.311  	1.717
